Vivado Simulator 2018.2
Time resolution is 1 ps
At time   0ns: sys_rst_n = 0, a_to_g = 192, open = x
At time  15ns: sys_rst_n = 0, a_to_g = 192, open = 0
At time 100ns: sys_rst_n = 1, a_to_g = 192, open = 0
At time 20115ns: sys_rst_n = 1, a_to_g = 192, open = 1
At time 250115ns: sys_rst_n = 1, a_to_g = 146, open = 1
At time 500115ns: sys_rst_n = 1, a_to_g = 192, open = 1
At time 750115ns: sys_rst_n = 1, a_to_g = 130, open = 1
At time 1000115ns: sys_rst_n = 1, a_to_g = 153, open = 1
At time 1250115ns: sys_rst_n = 1, a_to_g = 146, open = 1
At time 1500115ns: sys_rst_n = 1, a_to_g = 192, open = 1
At time 1750115ns: sys_rst_n = 1, a_to_g = 130, open = 1
At time 2000115ns: sys_rst_n = 1, a_to_g = 153, open = 1
At time 2250115ns: sys_rst_n = 1, a_to_g = 146, open = 1
At time 2500115ns: sys_rst_n = 1, a_to_g = 192, open = 1
At time 2750115ns: sys_rst_n = 1, a_to_g = 130, open = 1
At time 3000115ns: sys_rst_n = 1, a_to_g = 153, open = 1
At time 3250115ns: sys_rst_n = 1, a_to_g = 146, open = 1
At time 3500115ns: sys_rst_n = 1, a_to_g = 192, open = 1
At time 3750115ns: sys_rst_n = 1, a_to_g = 130, open = 1
At time 4000115ns: sys_rst_n = 1, a_to_g = 153, open = 1
At time 4250115ns: sys_rst_n = 1, a_to_g = 146, open = 1
At time 4500115ns: sys_rst_n = 1, a_to_g = 192, open = 1
At time 4750115ns: sys_rst_n = 1, a_to_g = 130, open = 1
At time 5000115ns: sys_rst_n = 1, a_to_g = 153, open = 1
At time 5250115ns: sys_rst_n = 1, a_to_g = 146, open = 1
At time 5500115ns: sys_rst_n = 1, a_to_g = 192, open = 1
At time 5750115ns: sys_rst_n = 1, a_to_g = 130, open = 1
At time 6000115ns: sys_rst_n = 1, a_to_g = 153, open = 1
At time 6250115ns: sys_rst_n = 1, a_to_g = 146, open = 1
At time 6500115ns: sys_rst_n = 1, a_to_g = 192, open = 1
At time 6750115ns: sys_rst_n = 1, a_to_g = 130, open = 1
At time 7000115ns: sys_rst_n = 1, a_to_g = 153, open = 1
At time 7250115ns: sys_rst_n = 1, a_to_g = 146, open = 1
At time 7500115ns: sys_rst_n = 1, a_to_g = 192, open = 1
At time 7750115ns: sys_rst_n = 1, a_to_g = 130, open = 1
At time 8000115ns: sys_rst_n = 1, a_to_g = 153, open = 1
At time 8250115ns: sys_rst_n = 1, a_to_g = 146, open = 1
At time 8500115ns: sys_rst_n = 1, a_to_g = 192, open = 1
At time 8750115ns: sys_rst_n = 1, a_to_g = 130, open = 1
At time 9000115ns: sys_rst_n = 1, a_to_g = 153, open = 1
At time 9250115ns: sys_rst_n = 1, a_to_g = 146, open = 1
At time 9500115ns: sys_rst_n = 1, a_to_g = 192, open = 1
At time 9750115ns: sys_rst_n = 1, a_to_g = 130, open = 1
At time 10000115ns: sys_rst_n = 1, a_to_g = 153, open = 1
At time 10250115ns: sys_rst_n = 1, a_to_g = 146, open = 1
At time 10500115ns: sys_rst_n = 1, a_to_g = 192, open = 1
At time 10750115ns: sys_rst_n = 1, a_to_g = 130, open = 1
